LATITUDE,LONGITUDE,crash_count
41.976201139,-87.9053091251,1247
41.9009589191,-87.6199281737,661
41.7914202821,-87.5801477687,473
41.7514606032,-87.585971993,469
41.722257273,-87.5852755651,353
